variable,OR,IC95_low,IC95_high,p_value
Sucreries,0.08209186668586556,0.060991670267272126,0.11049172036834815,3.001330852739413e-73
Fruits secs,0.20800947329965608,0.16133258282820107,0.2681909644282783,1.670639310237564e-36
Pattes,0.42376359200555797,0.33305848585728787,0.5391713153539023,1.8227802387438197e-12
Produits  riche en matière grasse,0.43831293980547714,0.34228394242836896,0.5612832195338089,5.754067014307129e-11
Poulet,0.36710319539025665,0.2555656636739583,0.5273194924873207,8.881622990715765e-09
Activité physique,1.9390527950310559,1.5160797563146977,2.4800316251550094,1.1705039226723189e-07
Œufs,0.5193015573383671,0.40477597376071695,0.666230519930689,1.8624375085026525e-07
Soupe,0.5690902447935696,0.44901325579398976,0.7212787207061785,3.2995711261700866e-06
Fast Food,0.3810220852593734,0.24677669010601358,0.5882963637814974,1.6130488227992658e-05
Légumes,0.421167695473251,0.2660191422007005,0.6668024948987372,0.00011270300049808193
Boissons énergétiques,0.46076839826839827,0.31312577141758896,0.6780263275094307,0.00011432919220920521
Fruits,0.5630498533724341,0.41653020586839506,0.7611095976143571,0.0001617740415251196
Thé,0.52734375,0.3672421276387149,0.7572427282570453,0.0004907165114807393
Hot dog,0.37804679883002923,0.21821436863902324,0.6549494563396698,0.0005857474887353943
Produits laitiers,0.6845457757537688,0.5416240710463078,0.865181117591549,0.0016322302277086693
Viande rouge,0.6990029801685131,0.5530961571399005,0.8834000380893529,0.0029647831977732634
Céréales,0.5615690168818273,0.3812645101228873,0.8271416624116857,0.0034069848295860544
Nourriture à l'extérieur,0.5705967976710334,0.38676500416269044,0.8418049772038958,0.005778027596492175
poisson,0.7127291095396161,0.5502097999671458,0.9232528821105455,0.011683072866459
Huile d'olive,0.7315184948299754,0.5578306898108879,0.9592862459032604,0.0257374273354897
Café,1.2424889135254988,0.9769273152039053,1.5802390579196317,0.07788847229752824
Lait,0.8443756906077348,0.6674504330476383,1.068199631894466,0.16882097856366263
smoking statuts,0.7261835184102864,0.4375425289746727,1.2052371312258612,0.234199405205116
Saucisson,0.8861726508785333,0.5083357762585459,1.5448489046847502,0.6693635874155797
